"","Month","MoY","SCODE","STATION","NAME","LATITUDE","LONGITUDE","DATE","Year","Day","DoY","Time","PRCP","TAVG","TMAX","TMIN","MAVG","MMAX","NormalMMAX"
"984",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-22",2018,22,"02-22",10280,NA,26.1,28.4,23.8,27.1,30.9107142857143,31.4844868735084
"1006",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-18",2018,18,"02-18",10276,NA,27.55,32.6,22.5,27.1,30.9107142857143,31.4844868735084
"1014",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-20",2018,20,"02-20",10278,NA,28.5,31.5,25.5,27.1,30.9107142857143,31.4844868735084
"1028",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-19",2018,19,"02-19",10277,0,27.6,31.3,23.9,27.1,30.9107142857143,31.4844868735084
"1062",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-17",2018,17,"02-17",10275,NA,28.65,33.6,23.7,27.1,30.9107142857143,31.4844868735084
"1063",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-16",2018,16,"02-16",10274,NA,28.25,32,24.5,27.1,30.9107142857143,31.4844868735084
"1103",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-15",2018,15,"02-15",10273,NA,27.8,32.2,23.4,27.1,30.9107142857143,31.4844868735084
"1111",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-25",2018,25,"02-25",10283,NA,27.5,31.2,23.8,27.1,30.9107142857143,31.4844868735084
"1123",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-13",2018,13,"02-13",10271,NA,26.15,31,21.3,27.1,30.9107142857143,31.4844868735084
"1125",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-24",2018,24,"02-24",10282,NA,27,30.6,23.4,27.1,30.9107142857143,31.4844868735084
"1159",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-14",2018,14,"02-14",10272,NA,28.2,33.5,22.9,27.1,30.9107142857143,31.4844868735084
"1205",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-12",2018,12,"02-12",10270,0,24.9,30.2,19.6,27.1,30.9107142857143,31.4844868735084
"1219",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-11",2018,11,"02-11",10269,NA,25.75,29.9,21.6,27.1,30.9107142857143,31.4844868735084
"1259",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-10",2018,10,"02-10",10268,NA,25.95,30.8,21.1,27.1,30.9107142857143,31.4844868735084
"1286",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-09",2018,9,"02-09",10267,NA,26,29.8,22.2,27.1,30.9107142857143,31.4844868735084
"1301",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-08",2018,8,"02-08",10266,3.2,27,31,23,27.1,30.9107142857143,31.4844868735084
"1341",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-07",2018,7,"02-07",10265,46.6,26.65,30.1,23.2,27.1,30.9107142857143,31.4844868735084
"1381",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-06",2018,6,"02-06",10264,NA,24.7,25.9,23.5,27.1,30.9107142857143,31.4844868735084
"1421",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-05",2018,5,"02-05",10263,41,25.2,26.5,23.9,27.1,30.9107142857143,31.4844868735084
"1436",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-01",2018,1,"02-01",10259,0,27.35,31.8,22.9,27.1,30.9107142857143,31.4844868735084
"1448",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-04",2018,4,"02-04",10262,NA,28.85,32.4,25.3,27.1,30.9107142857143,31.4844868735084
"1475",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-03",2018,3,"02-03",10261,NA,27.5,31.6,23.4,27.1,30.9107142857143,31.4844868735084
"1489",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-02",2018,2,"02-02",10260,0,27.65,32.1,23.2,27.1,30.9107142857143,31.4844868735084
"1787",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-29",2018,29,"03-29",10315,NA,28.35,31.6,25.1,26.9112903225806,30.3548387096774,30.854623655914
"1789",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-26",2018,26,"03-26",10312,NA,26.3,29.8,22.8,26.9112903225806,30.3548387096774,30.854623655914
"1799",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-31",2018,31,"03-31",10317,0,27.95,32.5,23.4,26.9112903225806,30.3548387096774,30.854623655914
"1801",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-28",2018,28,"03-28",10314,NA,27.75,31.6,23.9,26.9112903225806,30.3548387096774,30.854623655914
"1802",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-30",2018,30,"03-30",10316,NA,26,32,20,26.9112903225806,30.3548387096774,30.854623655914
"1830",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-27",2018,27,"03-27",10313,NA,26.55,28.6,24.5,26.9112903225806,30.3548387096774,30.854623655914
"1841",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-25",2018,25,"03-25",10311,0,25.45,27.7,23.2,26.9112903225806,30.3548387096774,30.854623655914
"1842",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-24",2018,24,"03-24",10310,0,26,27.6,24.4,26.9112903225806,30.3548387096774,30.854623655914
"1863",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-21",2018,21,"03-21",10307,0,27.45,31.4,23.5,26.9112903225806,30.3548387096774,30.854623655914
"1898",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-23",2018,23,"03-23",10309,0,26.4,29.7,23.1,26.9112903225806,30.3548387096774,30.854623655914
"1912",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-22",2018,22,"03-22",10308,0,26.45,29,23.9,26.9112903225806,30.3548387096774,30.854623655914
"1920",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-20",2018,20,"03-20",10306,0,27.75,31.5,24,26.9112903225806,30.3548387096774,30.854623655914
"1947",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-19",2018,19,"03-19",10305,0,28.05,31,25.1,26.9112903225806,30.3548387096774,30.854623655914
"1974",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-18",2018,18,"03-18",10304,0,27.5,31.4,23.6,26.9112903225806,30.3548387096774,30.854623655914
"2016",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-17",2018,17,"03-17",10303,0,27.45,32,22.9,26.9112903225806,30.3548387096774,30.854623655914
"2092",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-16",2018,16,"03-16",10302,0,26.55,32,21.1,26.9112903225806,30.3548387096774,30.854623655914
"2174",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-14",2018,14,"03-14",10300,0,26.1,31.7,20.5,26.9112903225806,30.3548387096774,30.854623655914
"2213",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-12",2018,12,"03-12",10298,NA,27.1,30.5,23.7,26.9112903225806,30.3548387096774,30.854623655914
"2214",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-13",2018,13,"03-13",10299,0.4,25.85,29.6,22.1,26.9112903225806,30.3548387096774,30.854623655914
"2215",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-15",2018,15,"03-15",10301,0,28.1,32,24.2,26.9112903225806,30.3548387096774,30.854623655914
"2293",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-10",2018,10,"03-10",10296,NA,26.4,30.2,22.6,26.9112903225806,30.3548387096774,30.854623655914
"2294",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-11",2018,11,"03-11",10297,1.6,25.9,27.9,23.9,26.9112903225806,30.3548387096774,30.854623655914
"2332",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-08",2018,8,"03-08",10294,25.8,25.55,27,24.1,26.9112903225806,30.3548387096774,30.854623655914
"2333",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-09",2018,9,"03-09",10295,NA,25.75,27.3,24.2,26.9112903225806,30.3548387096774,30.854623655914
"2372",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-07",2018,7,"03-07",10293,44,26.35,29.1,23.6,26.9112903225806,30.3548387096774,30.854623655914
"2399",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-06",2018,6,"03-06",10292,NA,26.6,30.3,22.9,26.9112903225806,30.3548387096774,30.854623655914
"2439",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-05",2018,5,"03-05",10291,35.6,27.55,31.6,23.5,26.9112903225806,30.3548387096774,30.854623655914
"2468",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-04",2018,4,"03-04",10290,NA,27.25,29.8,24.7,26.9112903225806,30.3548387096774,30.854623655914
"2495",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-03",2018,3,"03-03",10289,NA,27.3,31,23.6,26.9112903225806,30.3548387096774,30.854623655914
"2522",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-02",2018,2,"03-02",10288,NA,28.25,32,24.5,26.9112903225806,30.3548387096774,30.854623655914
"2536",3,"2018-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-03-01",2018,1,"03-01",10287,NA,28.25,31.6,24.9,26.9112903225806,30.3548387096774,30.854623655914
"2701",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-26",2018,26,"04-26",10343,NA,23.9,31,16.8,26.5066666666667,30.648275862069,29.5869710467706
"2702",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-28",2018,28,"04-28",10345,NA,23.6,30.6,16.6,26.5066666666667,30.648275862069,29.5869710467706
"2710",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-27",2018,27,"04-27",10344,NA,23.45,31.1,15.8,26.5066666666667,30.648275862069,29.5869710467706
"2712",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-30",2018,30,"04-30",10347,2.4,24.1,28.7,19.5,26.5066666666667,30.648275862069,29.5869710467706
"2737",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-29",2018,29,"04-29",10346,NA,25.25,29,21.5,26.5066666666667,30.648275862069,29.5869710467706
"2816",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-25",2018,25,"04-25",10342,NA,24.5,30.7,18.3,26.5066666666667,30.648275862069,29.5869710467706
"2846",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-23",2018,23,"04-23",10340,NA,25.55,30.2,20.9,26.5066666666667,30.648275862069,29.5869710467706
"2861",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-24",2018,24,"04-24",10341,NA,25.75,30.3,21.2,26.5066666666667,30.648275862069,29.5869710467706
"2881",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-15",2018,15,"04-15",10332,NA,28.05,32,24.1,26.5066666666667,30.648275862069,29.5869710467706
"2887",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-21",2018,21,"04-21",10338,NA,25.9,30.2,21.6,26.5066666666667,30.648275862069,29.5869710467706
"2928",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-22",2018,22,"04-22",10339,NA,25.75,30.7,20.8,26.5066666666667,30.648275862069,29.5869710467706
"2952",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-13",2018,13,"04-13",10330,NA,27.4,31,23.8,26.5066666666667,30.648275862069,29.5869710467706
"2953",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-14",2018,14,"04-14",10331,NA,27.1,31.4,22.8,26.5066666666667,30.648275862069,29.5869710467706
"3005",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-20",2018,20,"04-20",10337,NA,25.85,30.4,21.3,26.5066666666667,30.648275862069,29.5869710467706
"3018",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-11",2018,11,"04-11",10328,0.4,26.6,30.5,22.7,26.5066666666667,30.648275862069,29.5869710467706
"3019",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-12",2018,12,"04-12",10329,NA,26,29,23,26.5066666666667,30.648275862069,29.5869710467706
"3087",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-18",2018,18,"04-18",10335,NA,30.5,NA,30.5,26.5066666666667,30.648275862069,29.5869710467706
"3127",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-17",2018,17,"04-17",10334,NA,27.15,30.7,23.6,26.5066666666667,30.648275862069,29.5869710467706
"3128",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-19",2018,19,"04-19",10336,NA,26.75,30.3,23.2,26.5066666666667,30.648275862069,29.5869710467706
"3167",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-16",2018,16,"04-16",10333,NA,26.45,29.1,23.8,26.5066666666667,30.648275862069,29.5869710467706
"3178",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-09",2018,9,"04-09",10326,NA,28.2,31,25.4,26.5066666666667,30.648275862069,29.5869710467706
"3179",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-10",2018,10,"04-10",10327,NA,28.2,31.5,24.9,26.5066666666667,30.648275862069,29.5869710467706
"3257",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-07",2018,7,"04-07",10324,NA,27.9,31.3,24.5,26.5066666666667,30.648275862069,29.5869710467706
"3258",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-08",2018,8,"04-08",10325,NA,28.65,32,25.3,26.5066666666667,30.648275862069,29.5869710467706
"3337",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-06",2018,6,"04-06",10323,NA,26.95,30.3,23.6,26.5066666666667,30.648275862069,29.5869710467706
"3416",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-05",2018,5,"04-05",10322,0,26.2,30.3,22.1,26.5066666666667,30.648275862069,29.5869710467706
"3470",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-04",2018,4,"04-04",10321,NA,26.1,30.9,21.3,26.5066666666667,30.648275862069,29.5869710467706
"3498",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-03",2018,3,"04-03",10320,NA,27.75,31.5,24,26.5066666666667,30.648275862069,29.5869710467706
"3512",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-02",2018,2,"04-02",10319,NA,27.8,31.2,24.4,26.5066666666667,30.648275862069,29.5869710467706
"3524",4,"2018-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-04-01",2018,1,"04-01",10318,NA,27.85,31.9,23.8,26.5066666666667,30.648275862069,29.5869710467706
"3602",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-28",2018,28,"05-28",10375,9.2,24.3,27.9,20.7,24.3548387096774,28.1129032258065,27.9907427341227
"3606",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-27",2018,27,"05-27",10374,NA,24.1,27.3,20.9,24.3548387096774,28.1129032258065,27.9907427341227
"3608",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-31",2018,31,"05-31",10378,0,22.2,27.2,17.2,24.3548387096774,28.1129032258065,27.9907427341227
"3615",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-29",2018,29,"05-29",10376,NA,22.4,24.2,20.6,24.3548387096774,28.1129032258065,27.9907427341227
"3625",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-30",2018,30,"05-30",10377,NA,24.35,27.4,21.3,24.3548387096774,28.1129032258065,27.9907427341227
"3738",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-16",2018,16,"05-16",10363,NA,24.05,29.2,18.9,24.3548387096774,28.1129032258065,27.9907427341227
"3745",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-26",2018,26,"05-26",10373,NA,23.95,27.4,20.5,24.3548387096774,28.1129032258065,27.9907427341227
"3787",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-25",2018,25,"05-25",10372,NA,24.1,26.7,21.5,24.3548387096774,28.1129032258065,27.9907427341227
"3794",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-15",2018,15,"05-15",10362,NA,21.55,27.8,15.3,24.3548387096774,28.1129032258065,27.9907427341227
"3814",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-24",2018,24,"05-24",10371,NA,23.95,27.3,20.6,24.3548387096774,28.1129032258065,27.9907427341227
"3841",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-23",2018,23,"05-23",10370,NA,24.5,27.7,21.3,24.3548387096774,28.1129032258065,27.9907427341227
"3861",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-14",2018,14,"05-14",10361,0,22.1,27.9,16.3,24.3548387096774,28.1129032258065,27.9907427341227
"3868",5,"2018-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-05-22",2018,22,"05-22",10369,NA,24.4,26.8,22,24.3548387096774,28.1129032258065,27.9907427341227
