"","Month","MoY","SCODE","STATION","NAME","LATITUDE","LONGITUDE","DATE","Year","Day","DoY","Time","PRCP","TAVG","TMAX","TMIN","MAVG","MMAX","NormalMMAX"
"47",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-31",2018,31,"01-31",10258,0,28.1,31.7,24.5,27.791935483871,31.8322580645161,31.6660215053763
"54",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-26",2018,26,"01-26",10253,NA,26.95,29.8,24.1,27.791935483871,31.8322580645161,31.6660215053763
"62",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-21",2018,21,"01-21",10248,NA,26.25,29.4,23.1,27.791935483871,31.8322580645161,31.6660215053763
"70",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-16",2018,16,"01-16",10243,105.2,27.35,32.4,22.3,27.791935483871,31.8322580645161,31.6660215053763
"125",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-27",2018,27,"01-27",10254,NA,28.2,31.8,24.6,27.791935483871,31.8322580645161,31.6660215053763
"126",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-28",2018,28,"01-28",10255,NA,27.65,31.3,24,27.791935483871,31.8322580645161,31.6660215053763
"127",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-29",2018,29,"01-29",10256,1,28,32.4,23.6,27.791935483871,31.8322580645161,31.6660215053763
"128",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-30",2018,30,"01-30",10257,0,26.9,30.6,23.2,27.791935483871,31.8322580645161,31.6660215053763
"136",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-25",2018,25,"01-25",10252,NA,28.05,32.2,23.9,27.791935483871,31.8322580645161,31.6660215053763
"144",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-20",2018,20,"01-20",10247,NA,26.15,29.2,23.1,27.791935483871,31.8322580645161,31.6660215053763
"152",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-15",2018,15,"01-15",10242,0,27.75,32,23.5,27.791935483871,31.8322580645161,31.6660215053763
"216",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-24",2018,24,"01-24",10251,NA,27.7,31.5,23.9,27.791935483871,31.8322580645161,31.6660215053763
"224",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-19",2018,19,"01-19",10246,NA,25.2,26.9,23.5,27.791935483871,31.8322580645161,31.6660215053763
"232",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-14",2018,14,"01-14",10241,0,25.95,31.1,20.8,27.791935483871,31.8322580645161,31.6660215053763
"304",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-18",2018,18,"01-18",10245,NA,27.35,31.8,22.9,27.791935483871,31.8322580645161,31.6660215053763
"312",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-13",2018,13,"01-13",10240,0,27.6,32.8,22.4,27.791935483871,31.8322580645161,31.6660215053763
"377",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-23",2018,23,"01-23",10250,NA,28.35,32.4,24.3,27.791935483871,31.8322580645161,31.6660215053763
"392",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-12",2018,12,"01-12",10239,4.4,28,32.1,23.9,27.791935483871,31.8322580645161,31.6660215053763
"457",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-22",2018,22,"01-22",10249,0.2,26.6,29.3,23.9,27.791935483871,31.8322580645161,31.6660215053763
"465",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-17",2018,17,"01-17",10244,NA,25.7,29.6,21.8,27.791935483871,31.8322580645161,31.6660215053763
"473",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-11",2018,11,"01-11",10238,0.8,27.75,31.3,24.2,27.791935483871,31.8322580645161,31.6660215053763
"553",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-10",2018,10,"01-10",10237,NA,27.85,32.6,23.1,27.791935483871,31.8322580645161,31.6660215053763
"620",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-09",2018,9,"01-09",10236,NA,28.3,33,23.6,27.791935483871,31.8322580645161,31.6660215053763
"674",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-08",2018,8,"01-08",10235,NA,28.3,32.8,23.8,27.791935483871,31.8322580645161,31.6660215053763
"715",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-07",2018,7,"01-07",10234,NA,28.4,31.2,25.6,27.791935483871,31.8322580645161,31.6660215053763
"716",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-04",2018,4,"01-04",10231,0,31,36.3,25.7,27.791935483871,31.8322580645161,31.6660215053763
"742",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-06",2018,6,"01-06",10233,NA,27.65,32.7,22.6,27.791935483871,31.8322580645161,31.6660215053763
"743",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-03",2018,3,"01-03",10230,0,31.4,35.9,26.9,27.791935483871,31.8322580645161,31.6660215053763
"757",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-02",2018,2,"01-02",10229,0,30.5,34.1,26.9,27.791935483871,31.8322580645161,31.6660215053763
"769",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-05",2018,5,"01-05",10232,10.8,28.05,33,23.1,27.791935483871,31.8322580645161,31.6660215053763
"784",1,"2018-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-01-01",2018,1,"01-01",10228,0,28.55,33.6,23.5,27.791935483871,31.8322580645161,31.6660215053763
"937",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-27",2018,27,"02-27",10285,NA,27.75,31.2,24.3,27.1,30.9107142857143,31.4844868735084
"944",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-23",2018,23,"02-23",10281,NA,27.15,30.8,23.5,27.1,30.9107142857143,31.4844868735084
"946",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-28",2018,28,"02-28",10286,NA,27.9,31.4,24.4,27.1,30.9107142857143,31.4844868735084
"960",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-26",2018,26,"02-26",10284,21.4,28.05,32.7,23.4,27.1,30.9107142857143,31.4844868735084
"972",2,"2018-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2018-02-21",2018,21,"02-21",10279,NA,27.15,29.4,24.9,27.1,30.9107142857143,31.4844868735084
