"","Month","MoY","SCODE","STATION","NAME","LATITUDE","LONGITUDE","DATE","Year","Day","DoY","Time","PRCP","TAVG","TMAX","TMIN","MAVG","MMAX","NormalMMAX"
"496",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-22",2017,22,"01-22",9884,0,28.6,32.5,24.7,28.4129032258065,32.2193548387097,31.6660215053763
"544",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-17",2017,17,"01-17",9879,17.4,28.15,32,24.3,28.4129032258065,32.2193548387097,31.6660215053763
"552",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-12",2017,12,"01-12",9874,32,28,30.7,25.3,28.4129032258065,32.2193548387097,31.6660215053763
"632",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-11",2017,11,"01-11",9873,77.8,28.6,32.4,24.8,28.4129032258065,32.2193548387097,31.6660215053763
"686",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-10",2017,10,"01-10",9872,3.2,27.3,29.8,24.8,28.4129032258065,32.2193548387097,31.6660215053763
"727",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-09",2017,9,"01-09",9871,0,28.6,31.7,25.5,28.4129032258065,32.2193548387097,31.6660215053763
"768",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-08",2017,8,"01-08",9870,44.4,27.45,30.4,24.5,28.4129032258065,32.2193548387097,31.6660215053763
"783",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-06",2017,6,"01-06",9868,54,27.35,31.7,23,28.4129032258065,32.2193548387097,31.6660215053763
"795",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-07",2017,7,"01-07",9869,23,28.2,32.1,24.3,28.4129032258065,32.2193548387097,31.6660215053763
"810",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-05",2017,5,"01-05",9867,29.6,27.55,30.5,24.6,28.4129032258065,32.2193548387097,31.6660215053763
"824",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-04",2017,4,"01-04",9866,13.4,28.55,32.5,24.6,28.4129032258065,32.2193548387097,31.6660215053763
"838",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-03",2017,3,"01-03",9865,15.2,28.15,32,24.3,28.4129032258065,32.2193548387097,31.6660215053763
"878",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-02",2017,2,"01-02",9864,1,29.45,33.4,25.5,28.4129032258065,32.2193548387097,31.6660215053763
"879",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-01",2017,1,"01-01",9863,0,28.5,32.9,24.1,28.4129032258065,32.2193548387097,31.6660215053763
"956",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-23",2017,23,"02-23",9916,3.8,28.65,33,24.3,28.2053571428571,31.8857142857143,31.4844868735084
"999",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-22",2017,22,"02-22",9915,24.4,27.85,32.4,23.3,28.2053571428571,31.8857142857143,31.4844868735084
"1013",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-21",2017,21,"02-21",9914,0,28.3,31.9,24.7,28.2053571428571,31.8857142857143,31.4844868735084
"1027",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-20",2017,20,"02-20",9913,0,28.1,31.9,24.3,28.2053571428571,31.8857142857143,31.4844868735084
"1034",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-18",2017,18,"02-18",9911,0,27.6,31.1,24.1,28.2053571428571,31.8857142857143,31.4844868735084
"1041",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-19",2017,19,"02-19",9912,0,28.25,31.8,24.7,28.2053571428571,31.8857142857143,31.4844868735084
"1061",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-17",2017,17,"02-17",9910,17.8,27.5,31.2,23.8,28.2053571428571,31.8857142857143,31.4844868735084
"1071",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-28",2017,28,"02-28",9921,0.4,28,31.3,24.7,28.2053571428571,31.8857142857143,31.4844868735084
"1117",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-16",2017,16,"02-16",9909,0,28.65,32.2,25.1,28.2053571428571,31.8857142857143,31.4844868735084
"1144",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-15",2017,15,"02-15",9908,0,30,32.8,27.2,28.2053571428571,31.8857142857143,31.4844868735084
"1152",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-25",2017,25,"02-25",9918,46.2,26.85,30.2,23.5,28.2053571428571,31.8857142857143,31.4844868735084
"1158",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-14",2017,14,"02-14",9907,0,31.85,35.5,28.2,28.2053571428571,31.8857142857143,31.4844868735084
"1179",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-24",2017,24,"02-24",9917,12,27.8,31,24.6,28.2053571428571,31.8857142857143,31.4844868735084
"1204",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-13",2017,13,"02-13",9906,0,29.8,35,24.6,28.2053571428571,31.8857142857143,31.4844868735084
"1231",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-12",2017,12,"02-12",9905,0,27.65,31.8,23.5,28.2053571428571,31.8857142857143,31.4844868735084
"1232",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-27",2017,27,"02-27",9920,3.8,28.25,31.9,24.6,28.2053571428571,31.8857142857143,31.4844868735084
"1258",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-11",2017,11,"02-11",9904,0.2,27.55,31.6,23.5,28.2053571428571,31.8857142857143,31.4844868735084
"1272",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-26",2017,26,"02-26",9919,18.4,27.75,32.1,23.4,28.2053571428571,31.8857142857143,31.4844868735084
"1326",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-10",2017,10,"02-10",9903,12.6,28.5,32.2,24.8,28.2053571428571,31.8857142857143,31.4844868735084
"1340",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-09",2017,9,"02-09",9902,6,28,31.5,24.5,28.2053571428571,31.8857142857143,31.4844868735084
"1380",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-08",2017,8,"02-08",9901,10.4,28.25,32.2,24.3,28.2053571428571,31.8857142857143,31.4844868735084
"1420",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-07",2017,7,"02-07",9900,0,27.15,30.4,23.9,28.2053571428571,31.8857142857143,31.4844868735084
"1460",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-06",2017,6,"02-06",9899,48.2,27.65,31.6,23.7,28.2053571428571,31.8857142857143,31.4844868735084
"1487",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-05",2017,5,"02-05",9898,102,27.35,30.4,24.3,28.2053571428571,31.8857142857143,31.4844868735084
"1501",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-04",2017,4,"02-04",9897,55.8,28,32,24,28.2053571428571,31.8857142857143,31.4844868735084
"1529",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-03",2017,3,"02-03",9896,61.6,28.4,32,24.8,28.2053571428571,31.8857142857143,31.4844868735084
"1530",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-02",2017,2,"02-02",9895,42.4,27.8,30.8,24.8,28.2053571428571,31.8857142857143,31.4844868735084
"1557",2,"2017-02","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-02-01",2017,1,"02-01",9894,17.8,28.25,31,25.5,28.2053571428571,31.8857142857143,31.4844868735084
"1800",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-31",2017,31,"03-31",9952,5.2,29.35,34.6,24.1,28.3870967741935,32.5032258064516,30.854623655914
"1816",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-30",2017,30,"03-30",9951,0,30.25,34.1,26.4,28.3870967741935,32.5032258064516,30.854623655914
"1827",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-26",2017,26,"03-26",9947,0,28.7,33.6,23.8,28.3870967741935,32.5032258064516,30.854623655914
"1856",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-25",2017,25,"03-25",9946,16.8,28.6,33.2,24,28.3870967741935,32.5032258064516,30.854623655914
"1871",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-23",2017,23,"03-23",9944,0,28.65,32.5,24.8,28.3870967741935,32.5032258064516,30.854623655914
"1883",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-24",2017,24,"03-24",9945,0,28,31,25,28.3870967741935,32.5032258064516,30.854623655914
"1905",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-21",2017,21,"03-21",9942,0.2,27.8,31.6,24,28.3870967741935,32.5032258064516,30.854623655914
"1911",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-22",2017,22,"03-22",9943,0.4,28,32.1,23.9,28.3870967741935,32.5032258064516,30.854623655914
"1926",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-29",2017,29,"03-29",9950,0,31.5,35.5,27.5,28.3870967741935,32.5032258064516,30.854623655914
"1945",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-20",2017,20,"03-20",9941,23.8,27.4,31.7,23.1,28.3870967741935,32.5032258064516,30.854623655914
"1975",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-19",2017,19,"03-19",9940,17,26.2,31.1,21.3,28.3870967741935,32.5032258064516,30.854623655914
"2015",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-18",2017,18,"03-18",9939,10.2,28.5,32.3,24.7,28.3870967741935,32.5032258064516,30.854623655914
"2042",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-17",2017,17,"03-17",9938,0,28.95,33.1,24.8,28.3870967741935,32.5032258064516,30.854623655914
"2133",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-16",2017,16,"03-16",9937,0,28.45,32.4,24.5,28.3870967741935,32.5032258064516,30.854623655914
"2141",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-28",2017,28,"03-28",9949,0,30.65,36.2,25.1,28.3870967741935,32.5032258064516,30.854623655914
"2172",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-14",2017,14,"03-14",9935,0,28.3,32.5,24.1,28.3870967741935,32.5032258064516,30.854623655914
"2173",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-15",2017,15,"03-15",9936,5,28.35,32,24.7,28.3870967741935,32.5032258064516,30.854623655914
"2251",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-10",2017,10,"03-10",9931,0.2,29.05,33,25.1,28.3870967741935,32.5032258064516,30.854623655914
"2252",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-12",2017,12,"03-12",9933,0,27.05,32.9,21.2,28.3870967741935,32.5032258064516,30.854623655914
"2253",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-13",2017,13,"03-13",9934,0,26.85,32.1,21.6,28.3870967741935,32.5032258064516,30.854623655914
"2261",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-27",2017,27,"03-27",9948,0,29.15,34.4,23.9,28.3870967741935,32.5032258064516,30.854623655914
"2291",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-09",2017,9,"03-09",9930,2.2,28.9,32.2,25.6,28.3870967741935,32.5032258064516,30.854623655914
"2292",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-11",2017,11,"03-11",9932,0.2,27.95,33.2,22.7,28.3870967741935,32.5032258064516,30.854623655914
"2331",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-08",2017,8,"03-08",9929,0,28.9,32.2,25.6,28.3870967741935,32.5032258064516,30.854623655914
"2371",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-07",2017,7,"03-07",9928,0,28.35,32.4,24.3,28.3870967741935,32.5032258064516,30.854623655914
"2440",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-06",2017,6,"03-06",9927,0.2,28.3,31.9,24.7,28.3870967741935,32.5032258064516,30.854623655914
"2480",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-05",2017,5,"03-05",9926,3,27.85,31.3,24.4,28.3870967741935,32.5032258064516,30.854623655914
"2494",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-04",2017,4,"03-04",9925,3.8,27.9,31.7,24.1,28.3870967741935,32.5032258064516,30.854623655914
"2521",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-03",2017,3,"03-03",9924,14.2,25.9,27.7,24.1,28.3870967741935,32.5032258064516,30.854623655914
"2548",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-02",2017,2,"03-02",9923,11.4,27.85,30.9,24.8,28.3870967741935,32.5032258064516,30.854623655914
"2562",3,"2017-03","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-03-01",2017,1,"03-01",9922,7.4,28.35,32.2,24.5,28.3870967741935,32.5032258064516,30.854623655914
"2704",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-30",2017,30,"04-30",9982,0,22.2,29.1,15.3,25.845,29.6566666666667,29.5869710467706
"2707",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-29",2017,29,"04-29",9981,0,22.65,27.8,17.5,25.845,29.6566666666667,29.5869710467706
"2713",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-28",2017,28,"04-28",9980,0,25.65,28.7,22.6,25.845,29.6566666666667,29.5869710467706
"2724",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-27",2017,27,"04-27",9979,0,24.05,29,19.1,25.845,29.6566666666667,29.5869710467706
"2739",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-26",2017,26,"04-26",9978,3.2,24.4,28.9,19.9,25.845,29.6566666666667,29.5869710467706
"2831",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-25",2017,25,"04-25",9977,1,25.35,28.3,22.4,25.845,29.6566666666667,29.5869710467706
"2860",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-24",2017,24,"04-24",9976,0.2,26.4,29.7,23.1,25.845,29.6566666666667,29.5869710467706
"2872",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-23",2017,23,"04-23",9975,1,25.55,29.3,21.8,25.845,29.6566666666667,29.5869710467706
"2886",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-22",2017,22,"04-22",9974,10.2,25.6,28.9,22.3,25.845,29.6566666666667,29.5869710467706
"2898",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-21",2017,21,"04-21",9973,3.6,24.95,27.2,22.7,25.845,29.6566666666667,29.5869710467706
"2910",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-15",2017,15,"04-15",9967,2,26.35,30.2,22.5,25.845,29.6566666666667,29.5869710467706
"2951",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-14",2017,14,"04-14",9966,0,26.3,29.3,23.3,25.845,29.6566666666667,29.5869710467706
"2963",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-13",2017,13,"04-13",9965,0.6,26.35,30.5,22.2,25.845,29.6566666666667,29.5869710467706
"3046",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-20",2017,20,"04-20",9972,4.2,26.1,29.4,22.8,25.845,29.6566666666667,29.5869710467706
"3086",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-19",2017,19,"04-19",9971,4.2,26,29.4,22.6,25.845,29.6566666666667,29.5869710467706
"3097",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-11",2017,11,"04-11",9963,0,25.5,31.5,19.5,25.845,29.6566666666667,29.5869710467706
"3098",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-12",2017,12,"04-12",9964,1,26.4,30.1,22.7,25.845,29.6566666666667,29.5869710467706
"3126",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-18",2017,18,"04-18",9970,3.4,25.5,28.6,22.4,25.845,29.6566666666667,29.5869710467706
"3165",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-16",2017,16,"04-16",9968,2.4,26.05,30,22.1,25.845,29.6566666666667,29.5869710467706
"3166",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-17",2017,17,"04-17",9969,0.2,26.45,29.8,23.1,25.845,29.6566666666667,29.5869710467706
"3177",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-10",2017,10,"04-10",9962,0.2,25.45,31,19.9,25.845,29.6566666666667,29.5869710467706
"3256",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-09",2017,9,"04-09",9961,6,26.85,30.4,23.3,25.845,29.6566666666667,29.5869710467706
"3336",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-08",2017,8,"04-08",9960,7.4,26.3,29.1,23.5,25.845,29.6566666666667,29.5869710467706
"3442",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-07",2017,7,"04-07",9959,19.2,25.9,28.5,23.3,25.845,29.6566666666667,29.5869710467706
"3469",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-06",2017,6,"04-06",9958,14.8,26.4,30,22.8,25.845,29.6566666666667,29.5869710467706
"3496",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-05",2017,5,"04-05",9957,64.6,25.8,29.6,22,25.845,29.6566666666667,29.5869710467706
"3497",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-04",2017,4,"04-04",9956,29.8,25.45,27.5,23.4,25.845,29.6566666666667,29.5869710467706
"3522",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-03",2017,3,"04-03",9955,3.8,27.75,32,23.5,25.845,29.6566666666667,29.5869710467706
"3523",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-02",2017,2,"04-02",9954,0,28.45,32.7,24.2,25.845,29.6566666666667,29.5869710467706
"3548",4,"2017-04","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-04-01",2017,1,"04-01",9953,0.2,29.2,33.2,25.2,25.845,29.6566666666667,29.5869710467706
"3603",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-31",2017,31,"05-31",10013,0,25.45,28.7,22.2,24.4483870967742,28.3774193548387,27.9907427341227
"3604",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-30",2017,30,"05-30",10012,0,23.8,28,19.6,24.4483870967742,28.3774193548387,27.9907427341227
"3609",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-29",2017,29,"05-29",10011,0,23.75,28.4,19.1,24.4483870967742,28.3774193548387,27.9907427341227
"3627",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-27",2017,27,"05-27",10009,0,24.3,28.4,20.2,24.4483870967742,28.3774193548387,27.9907427341227
"3628",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-28",2017,28,"05-28",10010,0,24.2,28.4,20,24.4483870967742,28.3774193548387,27.9907427341227
"3786",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-26",2017,26,"05-26",10008,0,25,28.3,21.7,24.4483870967742,28.3774193548387,27.9907427341227
"3793",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-16",2017,16,"05-16",9998,0,24,28.7,19.3,24.4483870967742,28.3774193548387,27.9907427341227
"3813",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-25",2017,25,"05-25",10007,1,23.7,27.9,19.5,24.4483870967742,28.3774193548387,27.9907427341227
"3839",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-23",2017,23,"05-23",10005,0,25.75,29.4,22.1,24.4483870967742,28.3774193548387,27.9907427341227
"3840",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-24",2017,24,"05-24",10006,9,24.7,27.7,21.7,24.4483870967742,28.3774193548387,27.9907427341227
"3860",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-15",2017,15,"05-15",9997,0,24.2,29,19.4,24.4483870967742,28.3774193548387,27.9907427341227
"3866",5,"2017-05","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-05-22",2017,22,"05-22",10004,0,24.8,28.7,20.9,24.4483870967742,28.3774193548387,27.9907427341227
