"","Month","MoY","SCODE","STATION","NAME","LATITUDE","LONGITUDE","DATE","Year","Day","DoY","Time","PRCP","TAVG","TMAX","TMIN","MAVG","MMAX","NormalMMAX"
"42",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-27",2017,27,"01-27",9889,6.4,28.45,33.5,23.4,28.4129032258065,32.2193548387097,31.6660215053763
"43",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-28",2017,28,"01-28",9890,0,29.85,34.2,25.5,28.4129032258065,32.2193548387097,31.6660215053763
"44",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-29",2017,29,"01-29",9891,0.8,29.5,33.3,25.7,28.4129032258065,32.2193548387097,31.6660215053763
"45",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-30",2017,30,"01-30",9892,0.2,29.65,33.8,25.5,28.4129032258065,32.2193548387097,31.6660215053763
"46",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-31",2017,31,"01-31",9893,3.6,28.2,31.2,25.2,28.4129032258065,32.2193548387097,31.6660215053763
"135",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-26",2017,26,"01-26",9888,0,27.95,30.6,25.3,28.4129032258065,32.2193548387097,31.6660215053763
"143",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-21",2017,21,"01-21",9883,3.6,28.2,32.5,23.9,28.4129032258065,32.2193548387097,31.6660215053763
"151",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-16",2017,16,"01-16",9878,6.6,27.25,31.5,23,28.4129032258065,32.2193548387097,31.6660215053763
"223",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-20",2017,20,"01-20",9882,0,27.55,32.4,22.7,28.4129032258065,32.2193548387097,31.6660215053763
"231",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-15",2017,15,"01-15",9877,1,28.9,32.8,25,28.4129032258065,32.2193548387097,31.6660215053763
"296",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-25",2017,25,"01-25",9887,0,29.6,34.1,25.1,28.4129032258065,32.2193548387097,31.6660215053763
"311",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-14",2017,14,"01-14",9876,0.6,28.55,31.8,25.3,28.4129032258065,32.2193548387097,31.6660215053763
"376",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-24",2017,24,"01-24",9886,0,29.3,33.6,25,28.4129032258065,32.2193548387097,31.6660215053763
"384",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-19",2017,19,"01-19",9881,1.6,27.35,32.1,22.6,28.4129032258065,32.2193548387097,31.6660215053763
"456",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-23",2017,23,"01-23",9885,0,29.5,33.4,25.6,28.4129032258065,32.2193548387097,31.6660215053763
"464",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-18",2017,18,"01-18",9880,39.2,27.95,31.6,24.3,28.4129032258065,32.2193548387097,31.6660215053763
"472",1,"2017-01","S002","ASN00031011","CAIRNS AERO, AS",-16.8736,145.7458,"2017-01-13",2017,13,"01-13",9875,0.2,28.6,31.8,25.4,28.4129032258065,32.2193548387097,31.6660215053763
